destination_id,name,address,type,price_per_night,rating,contact,latitude,longitude
1,Hôtel de Neuve,,accomodations,,,,48.857460021972656,2.3503012657165527
1,hotel duo,,accomodations,,,,48.858097076416016,2.3529365062713623
1,Villa Mazarin,,accomodations,,,,48.85732650756836,2.3543708324432373
1,Andréa Rivoli,,accomodations,,,,48.85819625854492,2.350281000137329
1,grand hotel du loiret,,accomodations,,,,48.85691833496094,2.355293035507202
1,D'win,,accomodations,,,,48.85865783691406,2.353761911392212
1,hotel de nice,,accomodations,,,,48.856624603271484,2.3557612895965576
1,Auberge Maubuisson,,accomodations,,,,48.85531997680664,2.3553826808929443
1,france louvre,,accomodations,,,,48.85651779174805,2.356206178665161
1,hotel le presbytere,,accomodations,,,,48.859031677246094,2.3503689765930176
1,1er etage marais,,accomodations,,,,48.85866165161133,2.3548943996429443
1,hotel de la bretonnerie,,accomodations,,,,48.85833740234375,2.356032371520996
1,Hôtel Caron de Beaumarchais,,accomodations,,,,48.856449127197266,2.356865167617798
1,hotel le compostelle,,accomodations,,,,48.85647201538086,2.357055902481079
1,hotel rivoli,,accomodations,,,,48.855960845947266,2.357342481613159
1,hotel dupond-smith,,accomodations,,,,48.857906341552734,2.357191801071167
1,hotel victoria chatelet,,accomodations,,,,48.857826232910156,2.3467061519622803
1,Le Cardinal,,accomodations,,,,48.85951614379883,2.348318576812744
1,Halle Hotel,,accomodations,,,,48.8592414855957,2.3473713397979736
1,hotel britannique,,accomodations,,,,48.85829162597656,2.3464128971099854
1,,,accomodations,,,,48.8583869934082,2.346473455429077
1,hotel saint-louis en l'isle,,accomodations,,,,48.85259246826172,2.3542184829711914
1,hotel de lutece - notre-dame,,accomodations,,,,48.85244369506836,2.3546323776245117
1,Hôtel les Deux Iles,,accomodations,,,,48.852317810058594,2.3549673557281494
1,hotel des ducs d'anjou,,accomodations,,,,48.85985565185547,2.347092866897583
1,grand hotel dechampaigne,,accomodations,,,,48.85877990722656,2.345301389694214
1,MIJE Fourcy,,architecture,,,,48.85475158691406,2.3594868183135986
1,hotel le notre dame saint michel,,accomodations,,,,48.85308074951172,2.3464584350585938
1,hotel du jeu de paume,,architecture,,,,48.85204315185547,2.356139659881592
1,hotel flor rivoli,,accomodations,,,,48.8591423034668,2.3451907634735107
1,hotel esmeralda,,accomodations,,,,48.852474212646484,2.347203016281128
1,citadines les halles paris,,accomodations,,,,48.86065673828125,2.346933603286743
1,les rives de notre-dame,,accomodations,,,,48.853248596191406,2.3457841873168945
1,Rue Bertin Poirée,,accomodations,,,,48.8593635559082,2.3451569080352783
1,Hôtel La Pointe Rivoli,,accomodations,,,,48.85515213012695,2.360210418701172
1,Melia Paris Notre Dame,,accomodations,,,,48.851524353027344,2.3486742973327637
1,Le Colbert,,architecture,,,,48.851470947265625,2.3483307361602783
1,novotel paris les halles,,accomodations,,,,48.860897064208984,2.3463823795318604
1,hotel du mont blanc,,accomodations,,,,48.85318374633789,2.345099449157715
1,Short Stay Apartment Pompidou,,guest_houses,,,,48.862464904785156,2.352552652359009
1,,,apartments,,,,48.85999298095703,2.3449132442474365
1,Hôtel de la Vallée,,accomodations,,,,48.862220764160156,2.349508047103882
1,grand hotel malher,,accomodations,,,,48.85570526123047,2.3610973358154297
1,Snob Hotel by Elegancia,,accomodations,,,,48.862335205078125,2.349504232406616
1,handsome hotel by elegancia,,accomodations,,,,48.86220932006836,2.3488388061523438
1,hotel albe saint michel,,accomodations,,,,48.85308837890625,2.3447117805480957
1,hotel emile,,accomodations,,,,48.85538864135742,2.3612735271453857
1,,,accomodations,,,,48.85237121582031,2.3455169200897217
1,hotel henri iv rive gauche,,accomodations,,,,48.85184860229492,2.3463821411132812
1,Maitre Albert B&B,,accomodations,,,,48.850704193115234,2.3495969772338867
2,Boscolo Exedra,,accomodations,,,,41.9019889831543,12.495951652526855
2,Suite Dreams,,accomodations,,,,41.902366638183594,12.49459457397461
2,Mondial - Best Western,,accomodations,,,,41.901458740234375,12.495715141296387
2,Hotel Augustea,,accomodations,,,,41.90187072753906,12.494745254516602
2,repubblica hotel rome,,accomodations,,,,41.901859283447266,12.494731903076172
2,Floris Hotel,,accomodations,,,,41.90185546875,12.494685173034668
2,La casa del passeggero,,accomodations,,,,41.901371002197266,12.497380256652832
2,Hotel Quirinale,,accomodations,,,,41.901649475097656,12.494869232177734
2,the st.  regis rome,,accomodations,,,,41.90415573120117,12.495092391967773
2,The RomeHello,,accomodations,,,,41.90333557128906,12.494190216064453
2,hotel paris,,accomodations,,,,41.90190124511719,12.494385719299316
2,Hotel Aberdeen,,accomodations,,,,41.90263748168945,12.494040489196777
2,Hotel Nord Nuova Roma,,accomodations,,,,41.90116500854492,12.497584342956543
2,hotel columbia,,accomodations,,,,41.90089797973633,12.496562004089355
2,,,accomodations,,,,41.900917053222656,12.495931625366211
2,hotel impero,,accomodations,,,,41.9007568359375,12.496293067932129
2,hotel impero,,accomodations,,,,41.9007453918457,12.496298789978027
2,la griffe roma - mgallery collection,,accomodations,,,,41.90135192871094,12.494412422180176
2,Selene,,accomodations,,,,41.900718688964844,12.496752738952637
2,Starhotels Metropole,,accomodations,,,,41.900726318359375,12.496971130371094
2,Hotel Centro,,accomodations,,,,41.90090560913086,12.494858741760254
2,,,accomodations,,,,41.900550842285156,12.496414184570312
2,Hotel Diana,,accomodations,,,,41.90070343017578,12.497501373291016
2,Welcome Piram Hotel,,accomodations,,,,41.90080642700195,12.497882843017578
2,Hotel Opera Roma,,accomodations,,,,41.90074157714844,12.495035171508789
